guess	qty	min	max 	ave 	lw/max	p2
salet	161	1	0309	19.68	10.3	1,669
tarse	158	1	0319	20.05	09.9	1,608
peart	157	1	0357	20.18	08.9	2,174
caret	155	1	0347	20.44	09.1	1,764
reast	154	1	0319	20.57	09.9	1,883
slate	154	1	0329	20.57	09.6	2,006
carle	153	1	0348	20.71	09.1	1,930
parse	152	1	0353	20.84	09.0	2,103
sater	151	1	0319	20.98	09.9	1,576
cater	151	1	0347	20.98	09.1	1,900
carte	151	1	0347	20.98	09.1	1,917
crate	151	1	0347	20.98	09.1	1,993
trace	151	1	0347	20.98	09.1	2,010
carpe	151	1	0400	20.98	07.9	2,504
tiare	150	1	0277	21.12	11.4	1,529
tried	150	1	0444	21.12	07.1	2,411
tared	149	1	0375	21.26	08.5	1,918
parte	149	1	0357	21.26	08.9	2,020
carne	149	1	0360	21.26	08.8	2,056
derat	149	1	0375	21.26	08.5	2,097
torse	148	1	0328	21.41	09.7	1,956
earst	148	1	0324	21.41	09.8	2,073
raned	148	1	0383	21.41	08.3	2,139
least	148	1	0354	21.41	09.0	2,216
cared	148	1	0416	21.41	07.6	2,335
cruet	148	1	0425	21.41	07.5	2,661
taser	147	1	0319	21.55	09.9	1,675
stale	147	1	0329	21.55	09.6	2,181
prase	147	1	0353	21.55	09.0	2,326
cadre	147	1	0416	21.55	07.6	2,354
curet	147	1	0425	21.55	07.5	2,712
caron	147	1	0463	21.55	06.8	3,036
later	146	1	0290	21.70	10.9	1,616
tares	146	1	0319	21.70	09.9	1,676
carse	146	1	0329	21.70	09.6	2,022
crane	146	1	0360	21.70	08.8	2,192
palet	146	1	0340	21.70	09.3	2,197
tread	146	1	0375	21.70	08.5	2,248
ailed	146	1	0343	21.70	09.2	2,329
heart	146	1	0356	21.70	08.9	2,475
tiler	145	1	0324	21.85	09.8	1,960
prate	145	1	0357	21.85	08.9	2,143
trine	145	1	0383	21.85	08.3	2,264
reist	145	1	0362	21.85	08.8	2,330
cried	145	1	0475	21.85	06.7	2,928
taler	144	1	0290	22.00	10.9	1,573
rated	144	1	0375	22.00	08.5	2,038
dater	144	1	0375	22.00	08.5	2,040
teras	144	1	0319	22.00	09.9	2,084
react	144	1	0347	22.00	09.1	2,262
denar	144	1	0383	22.00	08.3	2,324
riled	144	1	0406	22.00	07.8	2,628
ratel	143	1	0290	22.15	10.9	1,625
laten	143	1	0297	22.15	10.7	1,960
resat	143	1	0319	22.15	09.9	2,087
tears	143	1	0319	22.15	09.9	2,096
aider	143	1	0311	22.15	10.2	2,122
caner	143	1	0360	22.15	08.8	2,123
thrae	143	1	0356	22.15	08.9	2,317
setal	143	1	0354	22.15	09.0	2,367
crape	143	1	0400	22.15	07.9	2,740
saner	142	1	0302	22.31	10.5	1,650
snare	142	1	0302	22.31	10.5	1,953
antre	142	1	0322	22.31	09.8	1,954
saine	142	1	0330	22.31	09.6	1,969
trade	142	1	0375	22.31	08.5	2,036
litre	142	1	0324	22.31	09.8	2,089
spare	142	1	0353	22.31	09.0	2,464
retin	142	1	0383	22.31	08.3	2,711
diner	142	1	0457	22.31	06.9	2,960
feart	142	1	0404	22.31	07.8	2,974
sient	142	1	0503	22.31	06.3	3,408
aired	141	1	0311	22.47	10.2	2,041
liter	141	1	0324	22.47	09.8	2,077
pater	141	1	0357	22.47	08.9	2,104
lacer	141	1	0348	22.47	09.1	2,129
arled	141	1	0370	22.47	08.6	2,146
trape	141	1	0357	22.47	08.9	2,216
armet	141	1	0377	22.47	08.4	2,249
tamer	141	1	0377	22.47	08.4	2,270
anise	141	1	0330	22.47	09.6	2,337
patel	141	1	0340	22.47	09.3	2,351
citer	141	1	0398	22.47	08.0	2,459
roted	141	1	0426	22.47	07.4	2,478
repat	141	1	0357	22.47	08.9	2,527
pared	141	1	0425	22.47	07.5	2,539
