guess	qty	min	max 	ave	    lw/max	p2
caret	155	1	0347	20.44	09.1	1,764
slate	154	1	0329	20.57	09.6	2,006
parse	152	1	0353	20.84	09.0	2,103
cater	151	1	0347	20.98	09.1	1,900
carte	151	1	0347	20.98	09.1	1,917
crate	151	1	0347	20.98	09.1	1,993
trace	151	1	0347	20.98	09.1	2,010
tried	150	1	0444	21.12	07.1	2,411
least	148	1	0354	21.41	09.0	2,216
cared	148	1	0416	21.41	07.6	2,335
taser	147	1	0319	21.55	09.9	1,675
stale	147	1	0329	21.55	09.6	2,181
cadre	147	1	0416	21.55	07.6	2,354
later	146	1	0290	21.70	10.9	1,616
crane	146	1	0360	21.70	08.8	2,192
tread	146	1	0375	21.70	08.5	2,248
ailed	146	1	0343	21.70	09.2	2,329
heart	146	1	0356	21.70	08.9	2,475
cried	145	1	0475	21.85	06.7	2,928
rated	144	1	0375	22.00	08.5	2,038
dater	144	1	0375	22.00	08.5	2,040
react	144	1	0347	22.00	09.1	2,262
riled	144	1	0406	22.00	07.8	2,628
aider	143	1	0311	22.15	10.2	2,122
saner	142	1	0302	22.31	10.5	1,650
snare	142	1	0302	22.31	10.5	1,953
trade	142	1	0375	22.31	08.5	2,036
litre	142	1	0324	22.31	09.8	2,089
spare	142	1	0353	22.31	09.0	2,464
diner	142	1	0457	22.31	06.9	2,960
aired	141	1	0311	22.47	10.2	2,041
liter	141	1	0324	22.47	09.8	2,077
tamer	141	1	0377	22.47	08.4	2,270
anise	141	1	0330	22.47	09.6	2,337
pared	141	1	0425	22.47	07.5	2,539
tired	141	1	0444	22.47	07.1	2,555
caper	141	1	0400	22.47	07.9	2,609
train	141	1	0442	22.47	07.2	2,756
cider	141	1	0475	22.47	06.7	3,131
pried	141	1	0509	22.47	06.2	3,245
stare	140	1	0319	22.63	09.9	2,005
sated	140	1	0361	22.63	08.8	2,105
paler	140	1	0354	22.63	09.0	2,143
dealt	140	1	0361	22.63	08.8	2,305
raced	140	1	0416	22.63	07.6	2,567
clear	140	1	0348	22.63	09.1	2,605
shale	140	1	0403	22.63	07.9	2,863
spate	140	1	0379	22.63	08.4	2,899
bared	140	1	0471	22.63	06.7	2,981
cored	140	1	0475	22.63	06.7	2,992
truce	140	1	0425	22.63	07.5	3,077
pleat	140	1	0432	22.63	07.3	3,157
filet	140	1	0499	22.63	06.4	3,689
alien	139	1	0303	22.79	10.5	2,116
leant	139	1	0355	22.79	08.9	2,301
saute	139	1	0391	22.79	08.1	2,461
trice	139	1	0398	22.79	08.0	2,536
lapse	139	1	0383	22.79	08.3	2,759
horse	139	1	0373	22.79	08.5	2,774
tiled	139	1	0450	22.79	07.0	2,846
cleat	139	1	0443	22.79	07.2	3,060
satin	139	1	0533	22.79	05.9	3,339
siren	138	1	0347	22.96	09.1	2,134
pearl	138	1	0354	22.96	09.0	2,490
blare	138	1	0393	22.96	08.1	2,662
arced	138	1	0416	22.96	07.6	2,667
cedar	138	1	0416	22.96	07.6	2,749
baled	138	1	0495	22.96	06.4	3,459
raise	137	1	0240	23.12	13.2	1,555
alert	137	1	0290	23.12	10.9	2,097
learn	137	1	0303	23.12	10.5	2,135
alder	137	1	0370	23.12	08.6	2,318
roast	137	1	0392	23.12	08.1	2,422
baler	137	1	0393	23.12	08.1	2,549
padre	137	1	0425	23.12	07.5	2,585
crone	137	1	0380	23.12	08.3	2,694
triad	137	1	0417	23.12	07.6	2,711
leapt	137	1	0371	23.12	08.5	2,786
paste	137	1	0379	23.12	08.4	2,814
earth	137	1	0370	23.12	08.6	2,833
sited	137	1	0464	23.12	06.8	2,856
paled	137	1	0445	23.12	07.1	2,954
cuter	137	1	0425	23.12	07.5	3,008
blase	137	1	0391	23.12	08.1	3,174
alter	136	1	0290	23.29	10.9	1,722
taper	136	1	0357	23.29	08.9	2,172
rinse	136	1	0347	23.29	09.1	2,436
lager	136	1	0374	23.29	08.5	2,498
share	136	1	0331	23.29	09.6	2,545
poser	136	1	0379	23.29	08.4	2,674
timer	136	1	0419	23.29	07.6	2,866
spire	136	1	0409	23.29	07.8	2,959
petal	136	1	0371	23.29	08.5	3,008
saint	136	1	0533	23.29	05.9	3,285
purse	136	1	0464	23.29	06.8	3,644
chart	136	1	0636	23.29	05.0	4,765
toner	135	1	0344	23.47	09.2	2,109
hater	135	1	0356	23.47	08.9	2,234
snore	135	1	0311	23.47	10.2	2,323
grate	135	1	0380	23.47	08.3	2,516
large	135	1	0374	23.47	08.5	2,539
plate	135	1	0340	23.47	09.3	2,619
drone	135	1	0424	23.47	07.5	2,626
sitar	135	1	0423	23.47	07.5	2,645
lance	135	1	0369	23.47	08.6	2,714
scale	135	1	0387	23.47	08.2	2,786
tripe	135	1	0428	23.47	07.4	2,813
plane	135	1	0372	23.47	08.5	2,813
great	135	1	0380	23.47	08.3	2,954
coder	135	1	0475	23.47	06.7	3,171
arise	134	1	0240	23.64	13.2	1,767
teary	134	1	0335	23.64	09.5	2,440
trail	134	1	0387	23.64	08.2	2,538
outre	134	1	0323	23.64	09.8	2,636
pacer	134	1	0400	23.64	07.9	2,735
drain	134	1	0439	23.64	07.2	3,061
biter	134	1	0445	23.64	07.1	3,063
raged	134	1	0456	23.64	07.0	3,082
brace	134	1	0434	23.64	07.3	3,197
beard	134	1	0471	23.64	06.7	3,258
dicer	134	1	0475	23.64	06.7	3,320
curse	134	1	0420	23.64	07.5	3,357
slant	134	1	0531	23.64	06.0	3,479
baron	134	1	0490	23.64	06.5	3,841
robed	134	1	0544	23.64	05.8	3,917
fried	134	1	0561	23.64	05.7	4,154
renal	133	1	0303	23.82	10.5	2,292
scare	133	1	0329	23.82	09.6	2,429
sired	133	1	0406	23.82	07.8	2,476
ramen	133	1	0374	23.82	08.5	2,567
glare	133	1	0374	23.82	08.5	2,680
toned	133	1	0425	23.82	07.5	2,867
table	133	1	0383	23.82	08.3	2,891
deist	133	1	0464	23.82	06.8	3,109
tapir	133	1	0474	23.82	06.7	3,201
pored	133	1	0497	23.82	06.4	3,299
suite	133	1	0452	23.82	07.0	3,308
cairn	133	1	0497	23.82	06.4	3,360
price	133	1	0461	23.82	06.9	3,424
place	133	1	0424	23.82	07.5	3,440
delay	133	1	0399	23.82	07.9	3,506
bread	133	1	0471	23.82	06.7	3,545
space	133	1	0430	23.82	07.4	3,562
brute	133	1	0486	23.82	06.5	3,817
bored	133	1	0544	23.82	05.8	3,836
orate	132	1	0258	24.00	12.3	1,715
tased	132	1	0361	24.00	08.8	2,296
