guess	qty	min	max	ave	    wrds/max
trace	150	1	246	15.39	9.39
salet	148	1	221	15.60	10.45
crate	148	1	246	15.60	9.39
tarse	147	1	226	15.71	10.22
reast	147	1	226	15.71	10.22
slate	146	1	221	15.82	10.45
carte	146	1	246	15.82	9.39
parse	146	1	269	15.82	8.58
caret	145	1	246	15.92	9.39
peart	145	1	267	15.92	8.65
carle	144	1	249	16.04	9.27
earst	142	1	226	16.26	10.22
crane	142	1	263	16.26	8.78
carne	142	1	263	16.26	8.78
tiare	141	1	193	16.38	11.96
stale	141	1	221	16.38	10.45
reist	141	1	245	16.38	9.42
heart	141	1	261	16.38	8.85
least	140	1	221	16.49	10.45
react	140	1	246	16.49	9.39
carse	139	1	237	16.61	9.74
cater	139	1	246	16.61	9.39
parte	138	1	267	16.73	8.65
trine	138	1	269	16.73	8.58
prase	138	1	269	16.73	8.58
carpe	138	1	304	16.73	7.60
tried	138	1	312	16.73	7.40
laten	137	1	205	16.85	11.26
torse	137	1	244	16.85	9.46
clear	137	1	249	16.85	9.27
thrae	137	1	261	16.85	8.85
train	137	1	264	16.85	8.75
feart	137	1	290	16.85	7.96
saine	136	1	207	16.98	11.15
resat	136	1	226	16.98	10.22
prate	136	1	267	16.98	8.65
trade	136	1	268	16.98	8.62
shite	136	1	347	16.98	6.65
alien	135	1	220	17.10	10.50
dealt	135	1	257	17.10	8.98
derat	135	1	268	17.10	8.62
trice	135	1	276	17.10	8.37
dearn	135	1	283	17.10	8.16
chare	135	1	296	17.10	7.80
crape	135	1	304	17.10	7.60
later	134	1	196	17.23	11.78
taler	134	1	196	17.23	11.78
ratel	134	1	196	17.23	11.78
antre	134	1	226	17.23	10.22
taser	134	1	226	17.23	10.22
thale	134	1	245	17.23	9.42
patel	134	1	255	17.23	9.05
cleat	134	1	263	17.23	8.78
roast	134	1	264	17.23	8.75
pearl	134	1	265	17.23	8.71
trape	134	1	267	17.23	8.65
tread	134	1	268	17.23	8.62
spare	134	1	269	17.23	8.58
spale	134	1	285	17.23	8.10
truce	134	1	308	17.23	7.50
cruet	134	1	308	17.23	7.50
diner	134	1	336	17.23	6.87
chart	134	1	404	17.23	5.72
slane	133	1	225	17.36	10.26
stare	133	1	226	17.36	10.22
shale	133	1	241	17.36	9.58
palet	133	1	255	17.36	9.05
earth	133	1	261	17.36	8.85
pleat	133	1	261	17.36	8.85
caner	133	1	263	17.36	8.78
denar	133	1	283	17.36	8.16
spate	133	1	287	17.36	8.05
curet	133	1	308	17.36	7.50
caron	133	1	315	17.36	7.33
prest	133	1	326	17.36	7.08
raise	132	1	167	17.49	13.83
leant	132	1	207	17.49	11.15
paire	132	1	214	17.49	10.79
saner	132	1	219	17.49	10.54
snare	132	1	219	17.49	10.54
aline	132	1	220	17.49	10.50
sater	132	1	226	17.49	10.22
slart	132	1	243	17.49	9.50
lacer	132	1	249	17.49	9.27
paler	132	1	265	17.49	8.71
tared	132	1	268	17.49	8.62
horse	132	1	278	17.49	8.31
blate	132	1	278	17.49	8.31
heast	132	1	282	17.49	8.19
plane	132	1	286	17.49	8.07
blare	132	1	291	17.49	7.93
throe	132	1	300	17.49	7.70
perst	132	1	326	17.49	7.08
alert	131	1	196	17.63	11.78
tiler	131	1	209	17.63	11.05
learn	131	1	212	17.63	10.89
halse	131	1	241	17.63	9.58
corse	131	1	254	17.63	9.09
plate	131	1	255	17.63	9.05
scale	131	1	255	17.63	9.05
rotan	131	1	256	17.63	9.02
parle	131	1	265	17.63	8.71
petar	131	1	267	17.63	8.65
apert	131	1	267	17.63	8.65
repat	131	1	267	17.63	8.65
thane	131	1	272	17.63	8.49
riled	131	1	280	17.63	8.25
raned	131	1	283	17.63	8.16
lapse	131	1	285	17.63	8.10
crone	131	1	285	17.63	8.10
slant	131	1	316	17.63	7.31
drain	131	1	322	17.63	7.17
drice	131	1	342	17.63	6.75
sault	131	1	358	17.63	6.45
earnt	130	1	226	17.76	10.22
snore	130	1	236	17.76	9.78
share	130	1	238	17.76	9.70
tepal	130	1	255	17.76	9.05
baile	130	1	263	17.76	8.78
rance	130	1	263	17.76	8.78
diane	130	1	266	17.76	8.68
pater	130	1	267	17.76	8.65
retin	130	1	269	17.76	8.58
redan	130	1	283	17.76	8.16
paste	130	1	287	17.76	8.05
suite	130	1	293	17.76	7.88
prise	130	1	296	17.76	7.80
surat	130	1	302	17.76	7.65
tired	130	1	312	17.76	7.40
drone	130	1	323	17.76	7.15
plast	130	1	404	17.76	5.72
raine	129	1	195	17.90	11.84
renal	129	1	212	17.90	10.89
trail	129	1	218	17.90	10.59
liane	129	1	220	17.90	10.50
anile	129	1	220	17.90	10.50
setal	129	1	221	17.90	10.45
saute	129	1	222	17.90	10.40
sacre	129	1	237	17.90	9.74
stane	129	1	239	17.90	9.66
siren	129	1	243	17.90	9.50
rinse	129	1	243	17.90	9.50
toran	129	1	256	17.90	9.02
trone	129	1	260	17.90	8.88
daine	129	1	266	17.90	8.68
dater	129	1	268	17.90	8.62
paren	129	1	272	17.90	8.49
lance	129	1	273	17.90	8.46
plier	129	1	277	17.90	8.34
table	129	1	278	17.90	8.31
taber	129	1	286	17.90	8.07
frate	129	1	290	17.90	7.96
spier	129	1	296	17.90	7.80
sient	129	1	301	17.90	7.67
cadre	129	1	307	17.90	7.52
crame	129	1	313	17.90	7.38
