11/05/2024	
Pattern groups for guesses from the Large Vocabulary words list (14,855 words) into Wordlebot’s Classic Solutions list (2,309 words)										
qty = qty of possible remaining words groups, i.e. the number of different clue patterns for the guess
ent = remaining words groups entropy in bits (powers of 2)
min, max = minimum and maximum group sizes amongst the number of different clue patterns for the guess
ave = average group size, i.e. # solutions / # groups
exp = expected group size, i.e. sum of each group size * expectation for that group 
p2 = group size population variance

sorted by entropy

guess	qty	ent     min     max     ave     exp     p2
tarse	147	5.949	1	226	15.707	65.73	785.70
tiare	141	5.930	1	193	16.376	60.69	725.62
soare	127	5.885	1	182	18.181	62.06	797.74
roate	126	5.885	1	194	18.325	60.13	766.12
raise	132	5.878	1	167	17.492	60.74	756.58
reast	147	5.868	1	226	15.707	71.43	875.23
raile	128	5.865	1	173	18.039	61.19	778.48
slate	146	5.856	1	221	15.815	71.28	877.21
salet	148	5.836	1	221	15.601	70.94	863.36
crate	148	5.835	1	246	15.601	72.81	892.48
irate	124	5.833	1	193	18.621	63.49	835.54
trace	150	5.830	1	246	15.393	73.95	901.32
sater	132	5.824	1	226	17.492	68.58	893.61
arise	123	5.821	1	167	18.772	63.47	839.05
orate	127	5.819	1	194	18.181	63.61	826.01
stare	133	5.807	1	226	17.361	71.05	932.04
carte	146	5.795	1	246	15.815	73.41	910.93
raine	129	5.786	1	195	17.899	66.93	877.63
ranse	127	5.778	1	219	18.181	68.35	912.20
caret	145	5.778	1	246	15.924	75.44	947.81
ariel	125	5.775	1	173	18.472	65.19	862.95
taler	134	5.773	1	196	17.231	67.46	865.49
carle	144	5.769	1	249	16.035	74.67	940.17
slane	133	5.769	1	225	17.361	73.86	980.80
snare	132	5.769	1	219	17.492	71.02	936.25
artel	128	5.769	1	196	18.039	67.33	889.16
strae	125	5.768	1	226	18.472	71.59	981.27
arose	121	5.768	1	182	19.083	65.76	890.72
carse	139	5.765	1	237	16.612	74.76	965.88
saine	136	5.765	1	207	16.978	72.44	941.68
earst	142	5.760	1	226	16.261	76.37	977.40
taser	134	5.756	1	226	17.231	70.91	924.91
least	140	5.752	1	221	16.493	77.97	1013.89
tares	128	5.745	1	226	18.039	71.19	958.77
alert	131	5.744	1	196	17.626	71.51	949.76
crane	142	5.741	1	263	16.261	78.69	1015.08
