Pattern Groups For Guesses From The Large Vocabulary Wordslist (14855) Into Wordlebot’s Possible Solutions List  (11/05/2024)											
							
guess	qty	ent min max ave exp p2
tarse	158	5.889	1	321	20.18	100.45	1,620.09
tiare	150	5.857	1	276	21.26	92.80	1,520.98
sater	151	5.850	1	321	21.12	96.63	1,594.73
roate	133	5.836	1	253	23.98	86.79	1,506.01
raise	137	5.829	1	243	23.28	91.00	1,576.49
raile	134	5.825	1	253	23.80	90.00	1,575.44
soare	134	5.822	1	238	23.80	92.51	1,635.24
taler	145	5.811	1	288	21.99	93.02	1,562.06
caret	156	5.799	1	343	20.44	105.16	1,731.90
salet	161	5.795	1	314	19.81	104.96	1,686.75
artel	140	5.791	1	288	22.78	94.28	1,628.72
ariel	137	5.786	1	253	23.28	90.75	1,570.52
tares	146	5.786	1	321	21.84	99.19	1,689.41
ratel	144	5.783	1	288	22.15	94.93	1,611.78
taser	147	5.770	1	321	21.69	99.62	1,690.51
later	146	5.759	1	288	21.84	95.52	1,609.27
raine	136	5.757	1	276	23.45	96.87	1,721.54
saner	141	5.756	1	304	22.62	96.90	1,680.14
reast	154	5.750	1	321	20.71	112.68	1,904.48
carte	152	5.746	1	343	20.98	110.39	1,875.86
alter	137	5.745	1	288	23.28	96.46	1,703.49
arise	134	5.737	1	243	23.80	98.87	1,786.70
orate	132	5.732	1	253	24.16	94.48	1,698.85
irate	130	5.729	1	276	24.53	97.56	1,791.34
ranse	136	5.723	1	304	23.45	102.88	1,862.53
tared	149	5.723	1	371	21.40	110.87	1,914.86
oater	138	5.720	1	253	23.11	92.38	1,600.76
carle	152	5.716	1	347	20.98	112.86	1,927.56
rates	138	5.714	1	321	23.11	101.12	1,802.72
crate	152	5.708	1	343	20.98	113.88	1,949.07
arose	127	5.705	1	238	25.11	97.45	1,816.46
sared	139	5.702	1	354	22.94	107.41	1,937.94
carse	146	5.702	1	330	21.84	115.13	2,037.67
trace	151	5.699	1	343	21.12	114.94	1,981.50
slate	154	5.696	1	328	20.71	118.44	2,023.83
strae	134	5.695	1	321	23.80	109.28	2,034.44
sorel	134	5.691	1	300	23.80	102.25	1,866.92
cater	151	5.690	1	343	21.12	110.11	1,879.50
stare	140	5.690	1	321	22.78	111.81	2,027.96
torse	147	5.690	1	330	21.69	113.15	1,984.04
saine	142	5.685	1	335	22.46	111.73	2,004.92
lares	127	5.676	1	289	25.11	97.98	1,829.86
carne	150	5.672	1	356	21.26	116.67	2,028.47
parte	150	5.670	1	357	21.26	115.36	2,000.51
earst	148	5.667	1	323	21.55	118.39	2,086.61
paire	138	5.659	1	298	23.11	107.50	1,950.20
snare	142	5.659	1	304	22.46	110.67	1,981.08
rated	144	5.655	1	371	22.15	114.33	2,041.40
arles	121	5.654	1	289	26.36	98.06	1,889.93
trade	142	5.653	1	371	22.46	112.89	2,030.91
laser	130	5.652	1	289	24.53	99.01	1,827.08
rales	127	5.650	1	289	25.11	99.23	1,861.07
roset	137	5.649	1	330	23.28	109.58	2,008.94
sacre	138	5.646	1	330	23.11	117.11	2,172.15
seral	134	5.644	1	289	23.80	109.92	2,049.64
slier	130	5.641	1	312	24.53	108.04	2,048.66
dater	144	5.641	1	371	22.15	114.37	2,042.49
soler	131	5.638	1	300	24.34	104.32	1,946.84
antre	142	5.636	1	318	22.46	109.16	1,947.08
prate	146	5.634	1	357	21.84	119.27	2,127.98
parle	140	5.630	1	358	22.78	116.35	2,131.47
parse	152	5.630	1	355	20.98	122.60	2,132.05
alert	138	5.626	1	288	23.11	112.48	2,065.30
tears	143	5.626	1	321	22.30	117.15	2,115.25
toile	130	5.625	1	313	24.53	111.06	2,122.53
resat	143	5.625	1	321	22.30	117.06	2,113.20
derat	149	5.625	1	371	21.40	119.64	2,102.62
toner	137	5.623	1	342	23.28	113.06	2,089.92
ranes	129	5.622	1	304	24.72	102.51	1,923.12
aired	139	5.622	1	311	22.94	113.43	2,076.07
crane	147	5.621	1	356	21.69	121.36	2,162.17
trone	134	5.618	1	342	23.80	114.69	2,163.07
tores	137	5.617	1	330	23.28	111.86	2,062.05
pater	141	5.617	1	357	22.62	115.86	2,108.89
tiler	146	5.616	1	321	21.84	111.18	1,951.26
least	147	5.615	1	351	21.69	125.37	2,249.19
tries	138	5.612	1	365	23.11	116.84	2,165.91
earnt	135	5.611	1	318	23.62	117.16	2,209.66
tales	135	5.608	1	314	23.62	110.28	2,047.08
arled	141	5.608	1	369	22.62	117.95	2,156.24
slane	139	5.606	1	351	22.94	122.56	2,285.41
siren	139	5.605	1	347	22.94	116.43	2,144.77
